:,ComplexFieldTest::testOne,ComplexFieldTest::testSerial,ComplexFieldTest::testZero,ComplexFormatAbstractTest::testConstructorSingleFormat,ComplexFormatAbstractTest::testDefaultFormatComplex,ComplexFormatAbstractTest::testDifferentImaginaryChar,ComplexFormatAbstractTest::testForgottenImaginaryCharacter,ComplexFormatAbstractTest::testFormatNumber,ComplexFormatAbstractTest::testGetImaginaryFormat,ComplexFormatAbstractTest::testGetRealFormat,ComplexFormatAbstractTest::testNan,ComplexFormatAbstractTest::testNegativeBoth,ComplexFormatAbstractTest::testNegativeImaginary,ComplexFormatAbstractTest::testNegativeInfinity,ComplexFormatAbstractTest::testNegativeReal,ComplexFormatAbstractTest::testParseDifferentImaginaryChar,ComplexFormatAbstractTest::testParseNan,ComplexFormatAbstractTest::testParseNegativeBoth,ComplexFormatAbstractTest::testParseNegativeImaginary,ComplexFormatAbstractTest::testParseNegativeReal,ComplexFormatAbstractTest::testParsePositiveInfinity,ComplexFormatAbstractTest::testParseSimpleNoDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimals,ComplexFormatAbstractTest::testParseSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testParseZeroImaginary,ComplexFormatAbstractTest::testParseZeroReal,ComplexFormatAbstractTest::testPaseNegativeInfinity,ComplexFormatAbstractTest::testPositiveInfinity,ComplexFormatAbstractTest::testSimpleNoDecimals,ComplexFormatAbstractTest::testSimpleWithDecimals,ComplexFormatAbstractTest::testSimpleWithDecimalsTrunc,ComplexFormatAbstractTest::testTrimOneImaginary,ComplexFormatAbstractTest::testZeroImaginary,ComplexFormatAbstractTest::testZeroReal,ComplexTest::testAbs,ComplexTest::testAbsInfinite,ComplexTest::testAbsNaN,ComplexTest::testAcos,ComplexTest::testAcosInf,ComplexTest::testAcosNaN,ComplexTest::testAdd,ComplexTest::testAddInf,ComplexTest::testAddNaN,ComplexTest::testAsin,ComplexTest::testAsinInf,ComplexTest::testAsinNaN,ComplexTest::testAtan,ComplexTest::testAtanI,ComplexTest::testAtanInf,ComplexTest::testAtanNaN,ComplexTest::testConjugate,ComplexTest::testConjugateInfiinite,ComplexTest::testConjugateNaN,ComplexTest::testConstructor,ComplexTest::testConstructorNaN,ComplexTest::testCos,ComplexTest::testCosInf,ComplexTest::testCosNaN,ComplexTest::testCosh,ComplexTest::testCoshInf,ComplexTest::testCoshNaN,ComplexTest::testDivide,ComplexTest::testDivideImaginary,ComplexTest::testDivideInf,ComplexTest::testDivideNaN,ComplexTest::testDivideNaNInf,ComplexTest::testDivideReal,ComplexTest::testDivideZero,ComplexTest::testDivideZeroZero,ComplexTest::testEqualsClass,ComplexTest::testEqualsImaginaryDifference,ComplexTest::testEqualsNaN,ComplexTest::testEqualsNull,ComplexTest::testEqualsRealDifference,ComplexTest::testEqualsSame,ComplexTest::testEqualsTrue,ComplexTest::testExp,ComplexTest::testExpInf,ComplexTest::testExpNaN,ComplexTest::testGetArgument,ComplexTest::testGetArgumentInf,ComplexTest::testGetArgumentNaN,ComplexTest::testHashCode,ComplexTest::testLog,ComplexTest::testLogInf,ComplexTest::testLogNaN,ComplexTest::testLogZero,ComplexTest::testMath221,ComplexTest::testMultiply,ComplexTest::testMultiplyInfInf,ComplexTest::testMultiplyNaN,ComplexTest::testMultiplyNaNInf,ComplexTest::testNegate,ComplexTest::testNegateNaN,ComplexTest::testNthRoot_cornercase_NAN_Inf,ComplexTest::testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty,ComplexTest::testNthRoot_cornercase_thirdRoot_realPartZero,ComplexTest::testNthRoot_normal_fourthRoot,ComplexTest::testNthRoot_normal_thirdRoot,ComplexTest::testPow,ComplexTest::testPowInf,ComplexTest::testPowNaNBase,ComplexTest::testPowNaNExponent,ComplexTest::testPowZero,ComplexTest::testReciprocal,ComplexTest::testReciprocalImaginary,ComplexTest::testReciprocalInf,ComplexTest::testReciprocalNaN,ComplexTest::testReciprocalReal,ComplexTest::testReciprocalZero,ComplexTest::testScalarAdd,ComplexTest::testScalarAddInf,ComplexTest::testScalarAddNaN,ComplexTest::testScalarDivide,ComplexTest::testScalarDivideInf,ComplexTest::testScalarDivideNaN,ComplexTest::testScalarDivideZero,ComplexTest::testScalarMultiply,ComplexTest::testScalarMultiplyInf,ComplexTest::testScalarMultiplyNaN,ComplexTest::testScalarPow,ComplexTest::testScalarPowInf,ComplexTest::testScalarPowNaNBase,ComplexTest::testScalarPowNaNExponent,ComplexTest::testScalarPowZero,ComplexTest::testScalarSubtract,ComplexTest::testScalarSubtractInf,ComplexTest::testScalarSubtractNaN,ComplexTest::testSerial,ComplexTest::testSin,ComplexTest::testSinInf,ComplexTest::testSinNaN,ComplexTest::testSinh,ComplexTest::testSinhInf,ComplexTest::testSinhNaN,ComplexTest::testSqrt1z,ComplexTest::testSqrt1zNaN,ComplexTest::testSqrtImaginaryNegative,ComplexTest::testSqrtImaginaryZero,ComplexTest::testSqrtInf,ComplexTest::testSqrtNaN,ComplexTest::testSqrtPolar,ComplexTest::testSqrtRealNegative,ComplexTest::testSqrtRealPositive,ComplexTest::testSqrtRealZero,ComplexTest::testSubtract,ComplexTest::testSubtractInf,ComplexTest::testSubtractNaN,ComplexTest::testTan,ComplexTest::testTanCritical,ComplexTest::testTanInf,ComplexTest::testTanNaN,ComplexTest::testTanh,ComplexTest::testTanhCritical,ComplexTest::testTanhInf,ComplexTest::testTanhNaN,ComplexTest::testpowNull,ComplexUtilsTest::testPolar2Complex,ComplexUtilsTest::testPolar2ComplexIllegalModulus,ComplexUtilsTest::testPolar2ComplexInf,ComplexUtilsTest::testPolar2ComplexNaN,
ComplexTest::testMath221 ,7,7,7,6,4,5,5,6,6,6,6,5,5,6,5,5,6,5,5,5,6,5,5,5,4,4,6,6,5,5,5,7,4,4,6,2,6,3,7,7,5,4,4,5,7,7,5,7,7,7,6,3,7,6,4,5,7,7,5,7,7,5,3,3,6,6,3,6,4,6,2,3,6,2,6,5,3,7,7,12,5,7,13,5,14,7,7,0,5,7,6,11,6,7,20,16,16,20,17,4,7,6,6,6,6,3,4,7,3,7,5,4,5,5,5,5,4,4,4,5,5,6,6,5,3,5,4,5,4,5,7,7,5,7,7,5,7,4,3,7,7,11,4,4,4,5,4,4,3,4,4,7,4,5,5,7,7,23,6,9,6,
ComplexTest::testMultiply ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testMultiplyInfInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testMultiplyNaN ,2,2,2,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,10,2,2,1,7,1,4,2,2,1,9,2,1,2,2,1,2,2,2,1,5,2,1,2,1,2,2,1,2,2,1,3,6,1,2,4,1,2,1,4,3,1,4,1,1,3,2,2,18,2,2,18,1,16,2,2,6,1,2,0,16,1,2,20,18,17,20,18,2,2,1,1,1,1,3,2,2,3,2,1,5,1,1,9,1,4,5,4,1,1,5,1,1,5,1,5,1,3,1,2,2,1,2,2,1,2,2,3,2,2,11,2,2,2,1,9,2,8,6,3,2,8,2,3,2,2,26,2,10,2,
ComplexTest::testMultiplyNaNInf ,17,17,17,16,14,14,15,16,16,16,16,15,15,16,15,15,16,15,15,15,16,14,15,15,14,14,16,16,15,15,15,9,14,14,16,9,16,12,17,17,15,8,14,15,17,17,15,17,17,17,16,11,17,16,14,15,17,17,15,17,17,15,13,10,16,16,12,16,14,16,12,13,16,12,16,15,13,17,17,6,15,17,13,15,14,17,17,11,15,17,16,0,16,17,20,17,17,20,17,14,17,16,16,16,16,13,14,17,13,17,15,11,15,15,7,15,12,14,12,15,15,12,16,15,11,15,11,15,13,15,17,17,15,17,17,15,17,14,13,17,17,15,14,14,14,15,8,14,11,13,14,17,10,15,14,17,17,22,16,14,15,
ComplexTest::testNegate ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testNegateNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testNthRoot_cornercase_NAN_Inf ,20,19,20,20,20,20,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,17,20,20,20,20,20,20,20,20,20,20,20,0,17,17,19,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24,20,20,20,
ComplexTest::testNthRoot_cornercase_thirdRoot_imaginaryPartEmpty ,19,18,19,18,18,18,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,17,17,18,18,18,18,18,19,17,17,18,16,18,17,19,19,18,17,18,18,19,19,18,19,19,19,18,16,19,18,18,18,19,19,18,19,19,18,17,17,18,18,17,18,16,18,16,16,18,16,18,18,17,19,19,17,17,19,15,18,18,19,19,16,18,19,18,17,18,19,17,0,1,7,3,18,19,18,18,18,18,16,18,19,16,19,18,17,18,18,17,18,17,18,18,18,18,19,18,18,17,18,17,18,18,18,19,19,18,19,19,18,19,18,16,19,19,16,18,18,17,18,17,18,17,17,17,19,17,17,17,19,19,23,18,18,19,
ComplexTest::testNthRoot_cornercase_thirdRoot_realPartZero ,18,17,18,17,17,17,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,16,16,17,16,17,17,18,18,17,17,17,17,18,18,17,18,18,18,17,16,18,17,17,17,18,18,17,18,18,17,17,17,17,17,17,17,16,17,16,16,17,16,17,17,17,18,18,17,17,18,16,17,17,18,18,16,17,18,17,17,17,18,17,1,0,6,3,17,18,17,17,17,17,16,17,18,16,18,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,18,18,17,18,18,17,18,17,16,18,18,16,17,17,16,17,17,17,17,17,17,18,17,16,17,18,18,24,17,18,18,
ComplexTest::testNthRoot_normal_fourthRoot ,21,20,21,20,20,20,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,20,20,20,20,21,21,20,21,21,21,20,20,21,20,20,20,21,21,20,21,21,20,20,20,20,21,20,20,20,20,20,20,20,20,20,20,20,21,21,20,21,21,18,20,20,21,21,20,20,21,20,20,20,21,19,7,6,0,7,20,21,20,20,20,20,20,20,21,20,21,20,20,20,20,20,20,20,20,20,20,20,21,20,20,21,20,20,20,20,20,21,21,20,21,21,20,21,20,20,21,21,19,20,20,20,20,20,20,20,20,21,21,20,20,21,21,21,26,21,21,21,
ComplexTest::testNthRoot_normal_thirdRoot ,19,18,19,18,18,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,18,18,18,18,18,18,17,18,18,17,18,18,18,18,18,18,19,19,18,16,17,18,19,19,18,19,19,19,18,18,19,18,18,18,19,19,18,19,19,18,18,17,18,19,17,18,18,18,18,18,18,18,18,18,18,19,19,17,19,19,17,18,18,19,19,17,18,19,18,17,18,19,18,3,3,7,0,18,19,18,18,18,18,18,17,19,18,19,18,16,18,18,16,18,16,18,16,18,18,17,18,18,18,18,16,18,18,18,19,19,18,19,19,18,19,17,18,19,19,17,17,17,18,18,16,17,17,18,18,19,17,18,18,19,19,24,19,17,17,
ComplexTest::testPow ,3,3,3,2,0,2,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,8,1,1,2,5,2,2,3,3,1,7,1,1,3,3,1,3,3,3,2,4,3,2,0,1,3,3,1,3,3,1,1,4,2,3,2,2,2,2,3,2,2,3,2,1,1,3,3,16,3,3,16,1,14,3,3,4,1,3,2,14,2,3,20,18,17,20,18,0,3,2,2,2,2,2,1,3,2,3,1,3,1,1,7,1,4,3,2,1,1,5,2,1,5,1,3,1,1,1,3,3,1,3,3,1,3,1,2,3,3,12,1,1,1,1,7,1,6,5,3,3,6,2,3,3,3,27,3,10,3,
ComplexTest::testPowInf ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testPowNaNBase ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testPowNaNExponent ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testPowZero ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testReciprocal ,1,2,1,0,2,2,3,0,0,0,0,1,1,0,1,1,0,1,1,1,0,2,1,1,2,2,0,0,1,1,1,10,2,2,0,7,0,4,1,1,1,9,2,1,1,1,1,1,1,1,0,5,1,0,2,1,1,1,1,1,1,1,3,6,0,1,4,0,2,0,4,3,1,4,0,1,3,1,1,18,2,1,18,1,16,1,1,6,1,1,1,16,0,1,20,18,17,20,18,2,1,0,0,0,0,3,2,1,3,1,1,5,1,1,9,1,4,5,4,1,1,5,0,1,5,1,5,1,3,1,1,1,1,1,1,1,1,2,3,1,1,12,2,2,2,1,9,2,8,6,3,1,8,2,3,1,2,27,2,10,2,
ComplexTest::testReciprocalImaginary ,4,4,4,3,2,3,2,3,3,3,3,2,2,3,2,2,3,2,2,2,3,3,2,2,1,1,3,3,3,2,2,9,1,1,3,4,3,2,4,4,2,6,2,2,4,4,2,4,4,4,3,2,4,3,2,2,4,4,2,4,4,2,2,3,3,3,2,3,1,3,1,0,3,1,3,2,1,4,4,15,2,4,15,2,15,4,4,3,2,4,3,13,3,4,20,16,16,20,18,2,4,3,3,3,3,0,2,4,0,4,2,3,2,2,6,2,3,4,3,2,2,5,3,2,3,2,3,2,2,2,4,4,2,4,4,2,4,2,0,4,4,11,2,2,1,2,6,2,5,3,2,4,5,2,2,4,4,25,3,9,4,
ComplexTest::testReciprocalInf ,3,3,3,2,1,1,2,2,2,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,8,2,2,2,6,2,3,3,3,1,7,0,1,3,3,1,3,3,3,2,4,3,2,1,1,3,3,1,3,3,1,2,4,2,3,2,2,2,2,3,2,2,3,2,1,2,3,3,16,3,3,17,1,15,3,3,4,1,3,2,14,2,3,20,18,17,20,17,1,3,2,2,2,2,2,0,3,2,3,1,4,1,1,7,1,3,4,3,1,1,4,2,1,5,1,4,1,2,1,3,3,1,3,3,1,3,0,2,3,3,12,0,0,2,1,7,0,6,5,3,3,6,2,3,3,3,26,3,10,2,
ComplexTest::testReciprocalNaN ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testReciprocalReal ,4,4,4,3,2,3,2,3,3,3,3,2,2,3,2,2,3,2,2,2,3,3,2,2,1,1,3,3,3,2,2,9,1,1,3,4,3,2,4,4,2,6,2,2,4,4,2,4,4,4,3,2,4,3,2,2,4,4,2,4,4,2,2,3,3,3,2,3,1,3,1,0,3,1,3,2,1,4,4,15,2,4,15,2,15,4,4,3,2,4,3,13,3,4,20,16,16,20,18,2,4,3,3,3,3,0,2,4,0,4,2,3,2,2,6,2,3,4,3,2,2,5,3,2,3,2,3,2,2,2,4,4,2,4,4,2,4,2,0,4,4,11,2,2,1,2,6,2,5,3,2,4,5,2,2,4,4,25,3,9,4,
ComplexTest::testReciprocalZero ,0,2,0,1,3,3,4,1,1,1,1,2,2,1,2,2,1,2,2,2,1,3,2,2,3,3,1,1,2,2,2,11,3,3,1,8,1,5,0,0,2,10,3,2,0,0,2,0,0,0,1,6,0,1,3,2,0,0,2,0,0,2,4,7,1,1,5,1,3,1,5,4,2,5,1,2,4,0,0,19,2,0,19,2,17,0,0,7,2,0,2,17,1,0,20,19,18,21,19,3,0,1,1,1,1,4,3,0,4,0,2,6,2,2,10,2,5,6,5,2,2,5,1,2,6,2,6,2,4,2,0,0,2,0,0,2,0,3,4,0,0,12,3,3,3,2,10,3,9,7,3,0,9,3,3,0,2,27,2,10,2,
ComplexTest::testScalarAdd ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testScalarAddInf ,6,6,6,5,3,3,4,5,5,5,5,4,4,5,4,4,5,4,4,4,5,3,4,4,3,3,5,5,4,4,4,6,4,4,5,4,5,3,6,6,4,4,4,4,6,6,4,6,6,6,5,3,6,5,3,4,6,6,4,6,6,4,4,4,5,5,4,5,4,5,3,3,5,3,5,4,2,6,6,13,5,6,15,4,14,6,6,4,4,6,5,11,5,6,20,17,17,20,16,3,6,5,5,5,5,3,4,6,3,6,4,0,4,4,4,4,2,4,1,4,4,4,5,4,4,4,0,4,3,4,6,6,4,6,6,4,6,4,3,6,6,11,4,4,4,4,4,4,4,4,4,6,4,5,4,6,6,24,6,9,4,
ComplexTest::testScalarAddNaN ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testScalarDivide ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testScalarDivideInf ,10,10,10,9,7,7,8,9,9,9,9,8,8,9,8,8,9,8,8,8,9,7,8,8,7,7,9,9,8,8,8,6,7,7,9,4,9,5,10,10,8,3,7,8,10,10,8,10,10,10,9,5,10,9,7,8,10,10,8,10,10,8,6,3,9,9,5,9,7,9,5,6,9,5,9,8,6,10,10,10,8,10,12,8,13,10,10,5,8,10,9,7,9,10,20,17,17,20,16,7,10,9,9,9,9,6,7,10,6,10,8,4,8,8,0,8,5,7,5,8,8,7,9,8,5,8,4,8,6,8,10,10,8,10,10,8,10,7,6,10,10,11,7,7,7,8,3,7,5,6,7,10,5,8,7,10,10,23,9,8,8,
ComplexTest::testScalarDivideNaN ,2,2,2,1,1,2,2,1,1,1,1,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,1,1,1,0,0,9,1,1,1,6,1,3,2,2,0,8,1,0,2,2,0,2,2,2,1,4,2,1,1,0,2,2,0,2,2,0,2,5,1,2,3,1,2,1,3,2,1,3,1,0,2,2,2,17,2,2,17,0,15,2,2,5,0,2,1,15,1,2,20,18,17,20,18,1,2,1,1,1,1,2,1,2,2,2,0,4,0,0,8,0,4,4,3,0,0,5,1,0,5,0,4,0,2,0,2,2,0,2,2,0,2,1,2,2,2,12,1,1,1,0,8,1,7,5,3,2,7,2,3,2,2,27,2,10,2,
ComplexTest::testScalarDivideZero ,5,5,5,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,3,4,4,3,4,4,8,3,3,4,5,4,2,5,5,4,5,3,4,5,5,4,5,5,5,4,3,5,4,4,4,5,5,4,5,5,4,3,5,4,4,4,4,2,4,3,3,4,3,4,4,3,5,5,14,3,5,16,4,16,5,5,4,4,5,4,12,4,5,20,17,17,20,16,4,5,4,4,4,4,3,3,5,3,5,4,2,4,4,5,4,0,5,2,4,4,3,4,4,4,4,2,4,4,4,5,5,4,5,5,4,5,3,3,5,5,11,3,3,3,4,5,3,6,5,3,5,5,3,2,5,5,23,4,8,3,
ComplexTest::testScalarMultiply ,6,6,6,5,3,5,4,5,5,5,5,4,4,5,4,4,5,4,4,4,5,5,4,4,4,4,5,5,5,4,4,8,4,4,5,5,5,4,6,6,4,7,4,4,6,6,4,6,6,6,5,5,6,5,3,4,6,6,4,6,6,4,3,4,5,6,3,5,5,5,4,4,5,4,5,4,3,6,6,16,6,6,16,4,14,6,6,4,4,6,5,14,5,6,20,18,17,20,18,3,6,5,5,5,5,4,4,6,4,6,4,4,4,4,7,4,5,0,4,4,4,6,5,4,5,4,4,4,3,4,6,6,4,6,6,4,6,4,4,6,6,11,4,4,4,4,7,4,6,6,6,6,6,5,6,6,6,26,6,10,6,
ComplexTest::testScalarMultiplyInf ,5,5,5,4,2,2,3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,2,3,3,3,3,4,4,3,3,3,6,3,3,4,5,4,4,5,5,3,5,3,3,5,5,3,5,5,5,4,4,5,4,2,3,5,5,3,5,5,3,3,4,4,5,3,4,4,4,3,3,4,3,4,3,3,5,5,14,5,5,16,3,14,5,5,4,3,5,4,12,4,5,20,18,17,20,16,2,5,4,4,4,4,3,3,5,3,5,3,1,3,3,5,3,2,4,0,3,3,3,4,3,5,3,1,3,2,3,5,5,3,5,5,3,5,3,3,5,5,12,3,3,3,3,5,3,5,5,4,5,5,4,4,5,5,25,5,9,3,
